Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
AMD,BLR,2018-11-01T05:50:00Z,05:50,08:00,4927.0,4300.0,324.0,Spicejet,9,2h 10m,Economy,921,SG,SG_921_,False,2018-10-25
AMD,BLR,2018-11-01T05:25:00Z,05:25,10:10,5848.0,5179.0,366.0,Spicejet,9,4h 45m,Economy,636_ 497,SG,SG_636_ 497_,False,2018-10-25
AMD,BLR,2018-11-01T21:45:00Z,21:45,00:10,6397.0,5700.0,394.0,Spicejet,9,2h 25m,Economy,928,SG,SG_928_,False,2018-10-25
AMD,BLR,2018-11-01T09:15:00Z,09:15,11:30,6698.0,5950.0,443.0,Vistara,9,2h 15m,Economy,924,UK,UK_924_,False,2018-10-25
AMD,BLR,2018-11-01T20:10:00Z,20:10,22:25,6698.0,5950.0,443.0,Vistara,9,2h 15m,Economy,926,UK,UK_926_,False,2018-10-25
AMD,BOM,2018-11-01T04:00:00Z,04:00,05:15,7385.0,6650.0,480.0,Air India,9,7h 10m,Economy,30,AI,AI_30_AI_639_,False,2018-10-25
AMD,BOM,2018-11-01T04:00:00Z,04:00,05:15,7385.0,6650.0,480.0,Air India,9,14h 30m,Economy,30,AI,AI_30_AI_607_,False,2018-10-25
AMD,BLR,2018-11-01T04:25:00Z,04:25,08:10,7422.0,5500.0,1542.0,Jet Airways,7,3h 45m,Economy,411,9W,9W_411_,False,2018-10-25
AMD,BLR,2018-11-01T08:20:00Z,08:20,17:20,7487.0,6030.0,410.0,Spicejet,9,9h 0m,Economy,511_ 1233,SG,SG_511_ 1233_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,23h 5m,Economy,315,9W,9W_315_9W_443_,True,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,23h 55m,Economy,315,9W,9W_315_9W_397_,True,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,7710.0,5650.0,1555.0,Jet Airways,7,25h 40m,Economy,315,9W,9W_315_9W_481_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,7710.0,5650.0,1555.0,Jet Airways,7,27h 0m,Economy,2738,JK,9W_2738_9W_443_,True,2018-10-25
AMD,BOM,2018-11-01T04:00:00Z,04:00,05:15,7857.0,7100.0,502.0,Air India,9,17h 50m,Economy,30,AI,AI_30_AI_609_,False,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,8760.0,6650.0,1605.0,Jet Airways,7,7h 15m,Economy,330,9W,9W_330_9W_381_,False,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,8760.0,6650.0,1605.0,Jet Airways,7,10h 40m,Economy,330,9W,9W_330_9W_411_,False,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,8760.0,6650.0,1605.0,Jet Airways,7,11h 55m,Economy,330,9W,9W_330_9W_443_,False,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,8760.0,6650.0,1605.0,Jet Airways,7,12h 45m,Economy,330,9W,9W_330_9W_397_,False,2018-10-25
AMD,BOM,2018-11-01T07:25:00Z,07:25,08:40,8907.0,8100.0,552.0,Air India,9,11h 5m,Economy,614,AI,AI_614_AI_607_,False,2018-10-25
AMD,BOM,2018-11-01T07:25:00Z,07:25,08:40,8907.0,8100.0,552.0,Air India,9,14h 25m,Economy,614,AI,AI_614_AI_609_,False,2018-10-25
AMD,BOM,2018-11-01T10:20:00Z,10:20,12:00,9495.0,7350.0,1640.0,Jet Airways,7,18h 25m,Economy,315,9W,9W_315_9W_381_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,9495.0,7350.0,1640.0,Jet Airways,7,22h 20m,Economy,2738,JK,9W_2738_9W_381_,True,2018-10-25
AMD,BOM,2018-11-01T04:25:00Z,04:25,05:35,9495.0,7350.0,1640.0,Jet Airways,7,24h 20m,Economy,411,9W,9W_411_9W_381_,True,2018-10-25
AMD,BOM,2018-11-01T06:25:00Z,06:25,07:40,9495.0,7350.0,1640.0,Jet Airways,7,25h 45m,Economy,2738,JK,9W_2738_9W_411_,True,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,9h 50m,Economy,913,9W,9W_913_9W_381_,False,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,13h 15m,Economy,913,9W,9W_913_9W_411_,False,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,14h 30m,Economy,913,9W,9W_913_9W_443_,False,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,11070.0,8850.0,1715.0,Jet Airways,7,14h 30m,Economy,330,9W,9W_330_9W_481_,False,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,15h 20m,Economy,913,9W,9W_913_9W_397_,True,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,17h 5m,Economy,913,9W,9W_913_9W_481_,True,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,11070.0,8850.0,1715.0,Jet Airways,7,22h 15m,Economy,330,9W,9W_330_9W_483_,True,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,23h 15m,Economy,913,9W,9W_913_9W_413_,True,2018-10-25
AMD,BOM,2018-11-01T18:55:00Z,18:55,20:25,11070.0,8850.0,1715.0,Jet Airways,7,24h 50m,Economy,913,9W,9W_913_9W_483_,True,2018-10-25
AMD,BOM,2018-11-01T21:30:00Z,21:30,23:00,11070.0,8850.0,1715.0,Jet Airways,4,25h 55m,Economy,330,9W,9W_330_9W_495_,True,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,12h 20m,Economy,685,9W,9W_685_9W_823_,False,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,13h 45m,Economy,685,9W,9W_685_9W_809_,False,2018-10-25
AMD,DEL,2018-11-01T05:35:00Z,05:35,07:20,11753.0,8900.0,2348.0,Jet Airways,7,15h 25m,Economy,685,9W,9W_685_9W_811_,False,2018-10-25
